epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
136,5681.17,0.70251,0.52838,1.01887,0.9718,1,0.99418,0.83992,0.80314,0.47171,0.9843,0.000368574,0.000368574,0.000368574
137,5720.57,0.7418,0.54603,1.03882,0.97655,0.99921,0.99418,0.8394,0.78777,0.48164,0.98661,0.000363075,0.000363075,0.000363075
138,5758.46,0.7255,0.55217,1.01258,0.97646,0.99817,0.99464,0.83229,0.79412,0.46537,1.00591,0.000357575,0.000357575,0.000357575
139,5798.08,0.71511,0.52141,0.99684,0.97608,0.99357,0.99464,0.82958,0.8003,0.45935,1.01742,0.000352076,0.000352076,0.000352076
140,5836.03,0.73207,0.5199,1.01391,0.97524,0.99048,0.99464,0.81405,0.81083,0.46834,1.01613,0.000346576,0.000346576,0.000346576
141,5874.86,0.7393,0.54189,1.04094,0.95607,0.99608,0.99243,0.81089,0.82811,0.4746,1.01917,0.000341077,0.000341077,0.000341077
142,5914.85,0.72722,0.51186,1.02889,0.96894,0.98095,0.99243,0.82743,0.84672,0.48523,1.03006,0.000335578,0.000335578,0.000335578
143,5952.12,0.72051,0.50718,1.00724,0.96911,0.98095,0.99259,0.8377,0.84857,0.49891,1.02151,0.000330078,0.000330078,0.000330078
144,5990.2,0.72146,0.52675,1.02192,0.96562,0.98264,0.99259,0.82716,0.83511,0.48865,1.02248,0.000324579,0.000324579,0.000324579
145,6027.39,0.69497,0.49274,0.99994,0.97614,0.98528,0.99249,0.82821,0.82199,0.47896,1.01195,0.000319079,0.000319079,0.000319079
146,6065.98,0.68722,0.49998,1.02591,0.97521,0.98481,0.99335,0.86126,0.79316,0.45538,0.99747,0.00031358,0.00031358,0.00031358
147,6104.81,0.71475,0.52587,1.02575,0.97667,0.98095,0.99243,0.86134,0.78466,0.4408,0.99033,0.00030808,0.00030808,0.00030808
