epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2710.36,0.59751,0.64842,0.63907,0.97408,0.84787,0.83716,0.89047,0.71444,0.86938,0.83966,0.87432,0.70643,0.78583,0.95296,0.99694,0.9063,0.00113898,0.00113898,0.00113898
43,2771.7,0.57601,0.60712,0.61907,0.96685,0.86714,0.86185,0.8848,0.68588,0.88772,0.82946,0.88696,0.6644,0.79252,1.02992,0.99283,0.91794,0.00113191,0.00113191,0.00113191
44,2833.62,0.59427,0.61164,0.58519,0.95452,0.89195,0.85706,0.92578,0.72534,0.88876,0.85366,0.92783,0.69601,0.73435,1.00602,0.89995,0.87496,0.00112484,0.00112484,0.00112484
45,2889.04,0.5954,0.61501,0.61431,0.9738,0.85381,0.93753,0.92768,0.71204,0.85618,0.9362,0.93092,0.63846,0.82187,0.97565,1.00047,0.90949,0.00111776,0.00111776,0.00111776
46,2942.42,0.54872,0.56212,0.58054,0.96642,0.70575,0.80675,0.82921,0.60872,0.79016,0.66532,0.79332,0.49588,0.75223,2.46123,1.06079,0.87967,0.00111069,0.00111069,0.00111069
47,2993.91,0.5627,0.65028,0.59944,0.97303,0.89803,0.87764,0.93678,0.78195,0.86603,0.82271,0.86963,0.65487,0.68819,0.85206,0.88687,0.84796,0.00110362,0.00110362,0.00110362
48,3043.71,0.56619,0.62911,0.56853,0.95851,0.85138,0.91616,0.93089,0.72229,0.9236,0.80609,0.89175,0.68845,0.74752,0.85532,0.93536,0.88311,0.00109654,0.00109654,0.00109654
49,3093.82,0.57335,0.5847,0.58396,0.97623,0.92048,0.93823,0.95553,0.75673,0.8694,0.87503,0.90601,0.70529,0.69409,0.85824,0.7833,0.86617,0.00108947,0.00108947,0.00108947
50,3149.38,0.58337,0.56955,0.57783,0.98501,0.8877,0.9046,0.943,0.74471,0.90494,0.89717,0.90766,0.67173,0.7032,0.91162,0.86792,0.85522,0.0010824,0.0010824,0.0010824
51,3204.05,0.56185,0.60162,0.58065,0.96375,0.89965,0.89104,0.94341,0.74754,0.88433,0.87576,0.89899,0.69118,0.72234,0.89309,0.84668,0.86046,0.00107532,0.00107532,0.00107532
52,3258.62,0.53421,0.58642,0.54099,0.94909,0.86653,0.93411,0.94928,0.76429,0.85793,0.92465,0.94794,0.70665,0.72261,0.908,0.85346,0.86896,0.00106825,0.00106825,0.00106825
53,3312.44,0.55186,0.59684,0.54563,0.96631,0.82648,0.90098,0.92484,0.72772,0.82593,0.89109,0.92183,0.66727,0.73321,0.90859,0.93333,0.86091,0.00106118,0.00106118,0.00106118
54,3365.57,0.5392,0.60673,0.52616,0.94926,0.89384,0.87849,0.93411,0.78405,0.88709,0.86955,0.90216,0.71478,0.64453,0.8065,0.79693,0.83556,0.0010541,0.0010541,0.0010541
55,3417.48,0.52797,0.57784,0.53131,0.95587,0.95528,0.88262,0.92898,0.74831,0.95494,0.88262,0.89946,0.69462,0.67873,0.88322,0.7689,0.84099,0.00104703,0.00104703,0.00104703
56,3472.13,0.55125,0.62149,0.52712,0.96111,0.92253,0.89463,0.93283,0.76477,0.92631,0.89497,0.93427,0.71867,0.69157,0.85978,0.81741,0.83676,0.00103995,0.00103995,0.00103995
57,3526.51,0.53185,0.58853,0.50872,0.9396,0.93787,0.89318,0.95,0.75918,0.9344,0.88978,0.94585,0.74534,0.67681,0.8695,0.75627,0.83549,0.00103288,0.00103288,0.00103288
58,3579.34,0.54437,0.60219,0.5462,0.95243,0.91243,0.88017,0.94471,0.79468,0.92072,0.88768,0.91423,0.75401,0.65293,0.83591,0.73731,0.82958,0.00102581,0.00102581,0.00102581
59,3631.58,0.55042,0.57965,0.53719,0.96904,0.85792,0.86861,0.92286,0.74995,0.85471,0.86508,0.90108,0.71204,0.68497,0.99295,0.81523,0.86531,0.00101873,0.00101873,0.00101873
60,3683.68,0.52373,0.538,0.52565,0.96491,0.91256,0.86534,0.94451,0.77684,0.9048,0.85667,0.89748,0.72769,0.66022,0.86021,0.69397,0.8342,0.00101166,0.00101166,0.00101166
61,3738.26,0.55019,0.6165,0.54636,0.95356,0.94617,0.89963,0.94003,0.77012,0.92929,0.88636,0.91759,0.71653,0.65953,0.80825,0.69663,0.83432,0.00100459,0.00100459,0.00100459
62,3791.62,0.54538,0.56686,0.54229,0.95805,0.93316,0.88291,0.93409,0.78701,0.9329,0.87368,0.91109,0.71066,0.61663,0.79748,0.6968,0.81017,0.000997513,0.000997513,0.000997513
63,3842.72,0.52026,0.58874,0.50104,0.93403,0.80077,0.83371,0.88121,0.73253,0.80077,0.83371,0.85455,0.68124,0.65924,0.80743,0.93729,0.82256,0.00099044,0.00099044,0.00099044
64,3897.64,0.52524,0.56434,0.51792,0.95867,0.926,0.84566,0.9416,0.79653,0.91912,0.83398,0.89798,0.69918,0.64071,0.83227,0.71006,0.80977,0.000983366,0.000983366,0.000983366
65,3955.73,0.50915,0.50679,0.48912,0.94653,0.84368,0.85881,0.92914,0.7741,0.83951,0.85465,0.90144,0.68689,0.65965,0.87785,0.74753,0.81426,0.000976293,0.000976293,0.000976293
66,4017.37,0.52819,0.59053,0.50051,0.94039,0.85206,0.87659,0.91798,0.74862,0.84022,0.86424,0.87728,0.62739,0.67096,0.88929,0.75758,0.81278,0.000969219,0.000969219,0.000969219
67,4081.18,0.49684,0.52805,0.48516,0.92688,0.9482,0.93789,0.95718,0.81259,0.89435,0.88388,0.90446,0.72664,0.63835,0.81722,0.69431,0.81053,0.000962146,0.000962146,0.000962146
68,4145.45,0.53319,0.63657,0.49595,0.93734,0.94215,0.88454,0.95376,0.77178,0.88281,0.83094,0.89293,0.71538,0.70648,0.83842,0.73287,0.84536,0.000955072,0.000955072,0.000955072
69,4209.11,0.50481,0.51449,0.48618,0.93595,0.94935,0.87922,0.95151,0.79998,0.88677,0.81841,0.87311,0.71059,0.63697,0.82651,0.70176,0.80784,0.000947999,0.000947999,0.000947999
70,4275.2,0.50703,0.55654,0.4837,0.94315,0.83943,0.93599,0.93775,0.75975,0.79267,0.87873,0.86795,0.66922,0.63561,0.9246,0.77642,0.82506,0.000940925,0.000940925,0.000940925
